food_category,food_name,per_100_ml_or_gm,cal_per_100_ml_or_gms,kj_per_100_ml_or_gms,per_serving,cal_per_serving,kj_per_serving,per_ounces,cal_per_ounces,kj_per_ounces
Canned Fruit,Mangue en conserve,100g,65 cal,273 kJ,1 tasse (165 g),107 cal,450 kJ,1 once (28 g),18 cal,76 kJ
Canned Fruit,Mangoustan en conserve,100g,73 cal,307 kJ,1 tasse (216 g),158 cal,663 kJ,1 once (28 g),20 cal,86 kJ
Canned Fruit,Fruits mélangés en conserve,100g,71 cal,298 kJ,1 canette(113 g),80 cal,337 kJ,1 once (28 g),20 cal,83 kJ
Canned Fruit,Cerises griottes en conserve,100g,81 cal,340 kJ,1 tasse (270 g),219 cal,918 kJ,1 once (28 g),23 cal,95 kJ
Canned Fruit,Oranges en conserve,100g,62 cal,260 kJ,1 canette(113 g),70 cal,294 kJ,1 once (28 g),17 cal,73 kJ
Canned Fruit,Pêches en conserve,100g,54 cal,227 kJ,1/2 fruit (98 g),53 cal,222 kJ,1 once (28 g),15 cal,64 kJ
Canned Fruit,Poires en conserve,100g,35 cal,147 kJ,1 tasse (284 g),99 cal,417 kJ,1 once (28 g),10 cal,41 kJ
Canned Fruit,Ananas en conserve,100g,60 cal,252 kJ,1 tasse (232 g),139 cal,585 kJ,1 once (28 g),17 cal,71 kJ
Canned Fruit,Prunes en conserve,100g,58 cal,244 kJ,1 prune (46 g),27 cal,112 kJ,1 once (28 g),16 cal,68 kJ
Canned Fruit,Framboises en conserve,100g,91 cal,382 kJ,1 tasse (256 g),233 cal,978 kJ,1 once (28 g),25 cal,107 kJ
Canned Fruit,Ananas en tranches en conserve,100g,53 cal,223 kJ,1 tasse (225 g),119 cal,502 kJ,1 once (28 g),15 cal,62 kJ
Canned Fruit,Cerises acides en conserve,100g,114 cal,479 kJ,1 tasse (261 g),298 cal,1250 kJ,1 once (28 g),32 cal,134 kJ
Canned Fruit,Fraises en conserve,100g,92 cal,386 kJ,1 tasse (254 g),234 cal,980 kJ,1 once (28 g),26 cal,108 kJ
Canned Fruit,Mandarines en conserve,100g,61 cal,256 kJ,1 tasse (252 g),154 cal,645 kJ,1 once (28 g),17 cal,72 kJ
Canned Fruit,Fruits secs,100g,243 cal,1021 kJ,2 once (56 g),136 cal,572 kJ,1 once (28 g),68 cal,286 kJ
Cereal Products,Amarante,100g,371 cal,1558 kJ,1 tasse (193 g),716 cal,3007 kJ,1 once (28 g),104 cal,436 kJ
Cereal Products,Orge,100g,354 cal,1487 kJ,1 tasse (157 g),556 cal,2335 kJ,1 once (28 g),99 cal,416 kJ
Cereal Products,Gruaux d'orge,100g,100 cal,420 kJ,1 tasse (31 g),31 cal,130 kJ,1 once (28 g),28 cal,118 kJ
Cereal Products,Riz brun,100g,388 cal,1630 kJ,1 tasse (195 g),757 cal,3179 kJ,1 once (28 g),109 cal,456 kJ
Cereal Products,Sarrasin,100g,343 cal,1441 kJ,1 tasse (170 g),583 cal,2450 kJ,1 once (28 g),96 cal,403 kJ
Cereal Products,Gruau de sarrasin,100g,346 cal,1453 kJ,1 tasse (164 g),567 cal,2383 kJ,1 once (28 g),97 cal,407 kJ
Cereal Products,Gaufres de maïs,100g,274 cal,1151 kJ,1 waffle (40 g),110 cal,460 kJ,1 once (28 g),77 cal,322 kJ
Cereal Products,Couscous,100g,376 cal,1579 kJ,1 tasse (173 g),650 cal,2732 kJ,1 once (28 g),105 cal,442 kJ
Cereal Products,Cracker,100g,502 cal,2108 kJ,1 cracker (7 g),35 cal,148 kJ,1 once (28 g),141 cal,590 kJ
Cereal Products,Semoule de blé dur,100g,397 cal,1667 kJ,1 c. à soupe (30 g),119 cal,500 kJ,1 once (28 g),111 cal,467 kJ
Cereal Products,Freekeh,100g,520 cal,2184 kJ,1 tasse (160 g),832 cal,3494 kJ,1 once (28 g),146 cal,612 kJ
Cereal Products,Gluten,100g,370 cal,1554 kJ,1 once (28 g),104 cal,435 kJ,1 once (28 g),104 cal,435 kJ
Cereal Products,Grissini,100g,408 cal,1714 kJ,1 grissini (5 g),20 cal,86 kJ,1 once (28 g),114 cal,480 kJ
Cereal Products,Kamut,100g,337 cal,1415 kJ,1 tasse (186 g),627 cal,2632 kJ,1 once (28 g),94 cal,396 kJ
Cereal Products,Millet,100g,378 cal,1588 kJ,1 tasse (128 g),484 cal,2033 kJ,1 once (28 g),106 cal,445 kJ
Cereal Products,Farine de millet ,100g,372 cal,1562 kJ,1 tasse (140 g),521 cal,2187 kJ,1 once (28 g),104 cal,437 kJ
Cereal Products,Millet Gruel,100g,46 cal,193 kJ,1 tasse (174 g),80 cal,336 kJ,1 once (28 g),13 cal,54 kJ
Cereal Products,Avoine,100g,246 cal,1033 kJ,1 tasse  (94 g),231 cal,971 kJ,1 once (28 g),69 cal,289 kJ
Cereal Products,Orge perlé,100g,352 cal,1478 kJ,1 tasse (157 g),553 cal,2320 kJ,1 once (28 g),99 cal,414 kJ
Cereal Products,Polenta,100g,366 cal,1537 kJ,1 tasse (150 g),549 cal,2306 kJ,1 once (28 g),102 cal,430 kJ
Cereal Products,Craquelins aux crevettes,100g,527 cal,2213 kJ,1 cracker (3 g),16 cal,66 kJ,1 once (28 g),148 cal,620 kJ
Cereal Products,Bâtons de bretzel,100g,380 cal,1596 kJ,20 bâtons (12 g),46 cal,192 kJ,1 once (28 g),106 cal,447 kJ
Cereal Products,Quinoa,100g,368 cal,1546 kJ,1 tasse (170 g),626 cal,2628 kJ,1 once (28 g),103 cal,433 kJ
Cereal Products,Biscotte,100g,410 cal,1722 kJ,1 rusk (10 g),41 cal,172 kJ,1 once (28 g),115 cal,482 kJ
Cereal Products,Seigle,100g,281 cal,1180 kJ,1 tasse (150 g),422 cal,1770 kJ,1 once (28 g),79 cal,330 kJ
Cereal Products,Sago,100g,354 cal,1487 kJ,1 once (28 g),99 cal,416 kJ,1 once (28 g),99 cal,416 kJ
Cereal Products,Biscuits salés,100g,347 cal,1457 kJ,40 grammes (40 g),139 cal,583 kJ,1 once (28 g),97 cal,408 kJ
Cereal Products,Sablés,100g,502 cal,2108 kJ,1 cookie (19 g),95 cal,401 kJ,1 once (28 g),141 cal,590 kJ
Cereal Products,Épeautre,100g,338 cal,1420 kJ,1 tasse (174 g),588 cal,2471 kJ,1 once (28 g),95 cal,398 kJ
Cereal Products,Son d'épeautre,100g,177 cal,743 kJ,1 tasse (160 g),283 cal,1189 kJ,1 once (28 g),50 cal,208 kJ
Cereal Products,Semoule d'épeautre,100g,360 cal,1512 kJ,1 tasse (167 g),601 cal,2525 kJ,1 once (28 g),101 cal,423 kJ
Cereal Products,Chips de tortilla,100g,499 cal,2096 kJ,20 chips (32 g),160 cal,671 kJ,1 once (28 g),140 cal,587 kJ
Cereal Products,Son de blé,100g,216 cal,907 kJ,1 tasse (58 g),125 cal,526 kJ,1 once (28 g),60 cal,254 kJ
Cereal Products,Germe de blé,100g,382 cal,1604 kJ,1 tasse (113 g),432 cal,1813 kJ,1 once (28 g),107 cal,449 kJ
Cereal Products,Gluten de blé,100g,325 cal,1365 kJ,1 c. à café (3 g),10 cal,41 kJ,1 once (28 g),91 cal,382 kJ
Cereal Products,Semoule de blé,100g,360 cal,1512 kJ,1 tasse (167 g),601 cal,2525 kJ,1 once (28 g),101 cal,423 kJ
Cereal Products,Amidon de blé,100g,351 cal,1474 kJ,1 tasse (110 g),386 cal,1621 kJ,1 once (28 g),98 cal,413 kJ
Cereal Products,Blé complet,100g,339 cal,1424 kJ,1 tasse (120 g),407 cal,1709 kJ,1 once (28 g),95 cal,399 kJ
Cereal Products,Avoine complète,100g,375 cal,1575 kJ,1 tasse (80 g),300 cal,1260 kJ,1 once (28 g),105 cal,441 kJ
Cheese,Fromage Asiago,100g,392 cal,1646 kJ,1 once (28.35 g),110 cal,461 kJ,1 once (28 g),110 cal,461 kJ
Cheese,Fromage bleu,100g,353 cal,1483 kJ,1 once (28.35 g),99 cal,415 kJ,1 once (28 g),99 cal,415 kJ
Cheese,Brie,100g,334 cal,1403 kJ,1 part (30 g),100 cal,421 kJ,1 once (28 g),94 cal,393 kJ
Cheese,Camembert,100g,300 cal,1260 kJ,1 part (30 g),90 cal,378 kJ,1 once (28 g),84 cal,353 kJ
Cheese,Cheddar,100g,403 cal,1693 kJ,1 part (22 g),89 cal,372 kJ,1 once (28 g),113 cal,474 kJ
Cheese,Fondue au fromage,100g,228 cal,958 kJ,1 packet (400 g),912 cal,3832 kJ,1 once (28 g),64 cal,268 kJ
Cheese,Cheese Whiz,100g,276 cal,1159 kJ,1 c. à soupe (33 g),91 cal,382 kJ,1 once (28 g),77 cal,325 kJ
Cheese,Chester,100g,387 cal,1625 kJ,1 once (28.35 g),108 cal,455 kJ,1 once (28 g),108 cal,455 kJ
Cheese,Fromage Colby,100g,394 cal,1655 kJ,1 tasse (132 g),520 cal,2185 kJ,1 once (28 g),110 cal,463 kJ
Cheese,Fromage hollandais,100g,393 cal,1651 kJ,1 once (28.35 g),110 cal,462 kJ,1 once (28 g),110 cal,462 kJ
Cheese,Fromage Edam,100g,357 cal,1499 kJ,1 paquet (198 g),707 cal,2968 kJ,1 once (28 g),100 cal,420 kJ
Cheese,Feta,100g,264 cal,1109 kJ,1 once (28.35 g),74 cal,311 kJ,1 once (28 g),74 cal,311 kJ
Cheese,Fontina,100g,389 cal,1634 kJ,1 part (30 g),117 cal,490 kJ,1 once (28 g),109 cal,458 kJ
Cheese,Mozzarella fraîche,100g,280 cal,1176 kJ,1 part (28 g),78 cal,329 kJ,1 once (28 g),78 cal,329 kJ
Cheese,Gjetost,100g,466 cal,1957 kJ,1 paquet (227 g),1058 cal,4442 kJ,1 once (28 g),130 cal,548 kJ
Cheese,Fromage de chèvre,100g,364 cal,1529 kJ,1 once (28.35 g),102 cal,428 kJ,1 once (28 g),102 cal,428 kJ
Cheese,Gorgonzola,100g,350 cal,1470 kJ,1 once (28.35 g),98 cal,412 kJ,1 once (28 g),98 cal,412 kJ
Cheese,Gouda,100g,356 cal,1495 kJ,1 paquet (198 g),705 cal,2960 kJ,1 once (28 g),100 cal,419 kJ
Cheese,Parmesan râpé,100g,431 cal,1810 kJ,1 c. à café (5 g),22 cal,91 kJ,1 once (28 g),121 cal,507 kJ
Cheese,Fromage grillé,100g,350 cal,1470 kJ,1 part (83 g),291 cal,1220 kJ,1 once (28 g),98 cal,412 kJ
Cheese,Gruyère,100g,413 cal,1735 kJ,1 part (25 g),103 cal,434 kJ,1 once (28 g),116 cal,486 kJ
Cheese,Halloumi,100g,321 cal,1348 kJ,1 once (28.35 g),90 cal,377 kJ,1 once (28 g),90 cal,377 kJ
Cheese,Havarti,100g,371 cal,1558 kJ,1 part (28 g),104 cal,436 kJ,1 once (28 g),104 cal,436 kJ
Cheese,Fromage italien,100g,397 cal,1667 kJ,1 portion (30 g),119 cal,500 kJ,1 once (28 g),111 cal,467 kJ
Cheese,Jarlsberg,100g,352 cal,1478 kJ,1 once (28.35 g),99 cal,414 kJ,1 once (28 g),99 cal,414 kJ
Cheese,Fromage Manchego,100g,320 cal,1344 kJ,1 portion (28 g),90 cal,376 kJ,1 once (28 g),90 cal,376 kJ
Cheese,Monterey,100g,373 cal,1567 kJ,1 tasse (132 g),492 cal,2068 kJ,1 once (28 g),104 cal,439 kJ
Cheese,Mozzarella,100g,280 cal,1176 kJ,1 part (28 g),78 cal,329 kJ,1 once (28 g),78 cal,329 kJ
Cheese,Fromage Muenster,100g,368 cal,1546 kJ,1 part (28 g),103 cal,433 kJ,1 once (28 g),103 cal,433 kJ
Cheese,Parmesan,100g,431 cal,1810 kJ,1 c. à café (5 g),22 cal,91 kJ,1 once (28 g),121 cal,507 kJ
Cheese,Pecorino,100g,387 cal,1625 kJ,1 c. à soupe (5 g),19 cal,81 kJ,1 once (28 g),108 cal,455 kJ
Cheese,Fromage provolone,100g,351 cal,1474 kJ,1 part (28 g),98 cal,413 kJ,1 once (28 g),98 cal,413 kJ
Cheese,Fromage à raclette,100g,357 cal,1499 kJ,1 part (25 g),89 cal,375 kJ,1 once (28 g),100 cal,420 kJ
Cheese,Ricotta,100g,174 cal,731 kJ,1 tasse (246 g),428 cal,1798 kJ,1 once (28 g),49 cal,205 kJ
Cheese,Romano,100g,387 cal,1625 kJ,5 paquets (142 g),550 cal,2308 kJ,1 once (28 g),108 cal,455 kJ
Cheese,Roquefort,100g,369 cal,1550 kJ,1 once (28.35 g),103 cal,434 kJ,1 once (28 g),103 cal,434 kJ
Cheese,Fromage de brebis,100g,364 cal,1529 kJ,1 once (28.35 g),102 cal,428 kJ,1 once (28 g),102 cal,428 kJ
Cheese,Fromage à pâte molle,100g,268 cal,1126 kJ,1 once (28.35 g),75 cal,315 kJ,1 once (28 g),75 cal,315 kJ
Cheese,Fromage Stilton,100g,393 cal,1651 kJ,1 once (28.35 g),110 cal,462 kJ,1 once (28 g),110 cal,462 kJ
Cheese,String Cheese,100g,250 cal,1050 kJ,1 bâton (28 g),70 cal,294 kJ,1 once (28 g),70 cal,294 kJ
Cheese,Fromage suisse,100g,380 cal,1596 kJ,1 part (25 g),95 cal,399 kJ,1 once (28 g),106 cal,447 kJ
Cheese,Fromage du Wisconsin,100g,389 cal,1634 kJ,1 once (28.35 g),109 cal,458 kJ,1 once (28 g),109 cal,458 kJ
Cold Cuts & Lunch Meat,Jambon au four,100g,343 cal,1441 kJ,1 part (21 g),72 cal,303 kJ,1 once (28 g),96 cal,403 kJ
Cold Cuts & Lunch Meat,Salami de boeuf,100g,375 cal,1575 kJ,1 part (10 g),38 cal,158 kJ,1 once (28 g),105 cal,441 kJ
Cold Cuts & Lunch Meat,Bresaola,100g,178 cal,748 kJ,1 part (9 g),16 cal,67 kJ,1 once (28 g),50 cal,209 kJ
Cold Cuts & Lunch Meat,Capicola,100g,110 cal,462 kJ,1 part (21 g),23 cal,97 kJ,1 once (28 g),31 cal,129 kJ
Cold Cuts & Lunch Meat,Filet de poulet,100g,79 cal,332 kJ,1 part (21 g),17 cal,70 kJ,1 once (28 g),22 cal,93 kJ
Cold Cuts & Lunch Meat,Jambon haché,100g,180 cal,756 kJ,1 part (28 g),50 cal,212 kJ,1 once (28 g),50 cal,212 kJ
Cold Cuts & Lunch Meat,Pain hollandais,100g,268 cal,1126 kJ,1 part (21 g),56 cal,236 kJ,1 once (28 g),75 cal,315 kJ
Cold Cuts & Lunch Meat,Saucisse de jambon,100g,164 cal,689 kJ,1 part (23 g),38 cal,158 kJ,1 once (28 g),46 cal,193 kJ
Cold Cuts & Lunch Meat,Fromage de tête,100g,157 cal,659 kJ,1 part (28 g),44 cal,185 kJ,1 once (28 g),44 cal,185 kJ
Cold Cuts & Lunch Meat,Jambon Hickory,100g,188 cal,790 kJ,1 part (21 g),39 cal,166 kJ,1 once (28 g),53 cal,221 kJ
Cold Cuts & Lunch Meat,Jambon au miel,100g,122 cal,512 kJ,1 part (22 g),27 cal,113 kJ,1 once (28 g),34 cal,143 kJ
Cold Cuts & Lunch Meat,Saucisse de Liver,100g,326 cal,1369 kJ,1 part (18 g),59 cal,246 kJ,1 once (28 g),91 cal,383 kJ
Cold Cuts & Lunch Meat,Pain d'olives,100g,232 cal,974 kJ,1 part (23 g),53 cal,224 kJ,1 once (28 g),65 cal,273 kJ
Cold Cuts & Lunch Meat,Pain de piment,100g,265 cal,1113 kJ,1 part (28 g),74 cal,312 kJ,1 once (28 g),74 cal,312 kJ
Cold Cuts & Lunch Meat,Rôti de porc,100g,247 cal,1037 kJ,1 part (21 g),52 cal,218 kJ,1 once (28 g),69 cal,290 kJ
Cold Cuts & Lunch Meat,Rôti de boeuf,100g,267 cal,1121 kJ,1 part (21 g),56 cal,235 kJ,1 once (28 g),75 cal,314 kJ
Cold Cuts & Lunch Meat,Salami,100g,336 cal,1411 kJ,1 part (12.3 g),40 cal,169 kJ,1 once (28 g),94 cal,395 kJ
Cold Cuts & Lunch Meat,Jambon fumé,100g,107 cal,449 kJ,1 part (21 g),22 cal,94 kJ,1 once (28 g),30 cal,126 kJ
Cold Cuts & Lunch Meat,Summer Sausage,100g,298 cal,1252 kJ,1 part (21 g),63 cal,263 kJ,1 once (28 g),83 cal,351 kJ
Cold Cuts & Lunch Meat,Jambon de dinde,100g,126 cal,529 kJ,1 part (21 g),26 cal,111 kJ,1 once (28 g),35 cal,148 kJ
Cold Cuts & Lunch Meat,Salami de dinde,100g,152 cal,638 kJ,1 part (23 g),35 cal,147 kJ,1 once (28 g),43 cal,179 kJ
Cream Cheese,Fromage à la crème à la ciboulette,100g,342 cal,1436 kJ,1 c. à soupe (14.5 g),48 cal,201 kJ,1 once (28 g),96 cal,402 kJ
Cream Cheese,Fromage à la crème aux herbes,100g,342 cal,1436 kJ,1 c. à soupe (14.5 g),48 cal,201 kJ,1 once (28 g),96 cal,402 kJ
Cream Cheese,Fromage à la crème à la feta,100g,342 cal,1436 kJ,1 c. à soupe (14.5 g),48 cal,201 kJ,1 once (28 g),96 cal,402 kJ
Cream Cheese,Fromage à la crème à l'ail,100g,342 cal,1436 kJ,1 c. à soupe (14.5 g),48 cal,201 kJ,1 once (28 g),96 cal,402 kJ
Cream Cheese,Mascarpone,100g,450 cal,1890 kJ,1 c. à soupe (14.5 g),63 cal,265 kJ,1 once (28 g),126 cal,529 kJ
Cream Cheese,Obatzda,100g,303 cal,1273 kJ,1 c. à soupe (15 g),45 cal,191 kJ,1 once (28 g),85 cal,356 kJ
Cream Cheese,Fromage à la crème aux olives,100g,342 cal,1436 kJ,1 c. à soupe (14.5 g),48 cal,201 kJ,1 once (28 g),96 cal,402 kJ
Cream Cheese,Fromage à la crème au pesto,100g,342 cal,1436 kJ,1 c. à soupe (14.5 g),48 cal,201 kJ,1 once (28 g),96 cal,402 kJ
Cream Cheese,Fromage à la crème à l'ananas,100g,342 cal,1436 kJ,1 c. à soupe (14.5 g),48 cal,201 kJ,1 once (28 g),96 cal,402 kJ
Cream Cheese,Fromage à la crème de saumon,100g,342 cal,1436 kJ,1 c. à soupe (14.5 g),48 cal,201 kJ,1 once (28 g),96 cal,402 kJ
Cream Cheese,Fromage à la crème aux légumes,100g,342 cal,1436 kJ,1 c. à soupe (14.5 g),48 cal,201 kJ,1 once (28 g),96 cal,402 kJ
Cream Cheese,Fromage à la crème aux noix,100g,342 cal,1436 kJ,1 c. à soupe (14.5 g),48 cal,201 kJ,1 once (28 g),96 cal,402 kJ
Dishes & Meals,Bacon et oeufs,100g,252 cal,1058 kJ,1 portion (214 g),539 cal,2264 kJ,1 once (28 g),71 cal,296 kJ
Dishes & Meals,Haricots au four,100g,94 cal,395 kJ,1 tasse (260 g),244 cal,1027 kJ,1 once (28 g),26 cal,111 kJ
Dishes & Meals,Poulet au four,100g,164 cal,689 kJ,1 poitrine (172 g),282 cal,1185 kJ,1 once (28 g),46 cal,193 kJ
Dishes & Meals,Ragoût de boeuf,100g,95 cal,399 kJ,1 tasse (196 g),186 cal,782 kJ,1 once (28 g),27 cal,112 kJ
Dishes & Meals,Biryani,100g,176 cal,739 kJ,1 tasse (275 g),484 cal,2032 kJ,1 once (28 g),49 cal,207 kJ
Dishes & Meals,Riz noir,100g,323 cal,1357 kJ,1/2 tasse (100 g),323 cal,1357 kJ,1 once (28 g),90 cal,380 kJ
Dishes & Meals,Riz brun,100g,362 cal,1520 kJ,1 tasse (185 g),670 cal,2812 kJ,1 once (28 g),101 cal,426 kJ
Dishes & Meals,Burrito,100g,163 cal,685 kJ,1 burrito (200 g),326 cal,1370 kJ,1 once (28 g),46 cal,192 kJ
Dishes & Meals,Poulet au beurre,100g,140 cal,588 kJ,1 tray (350 g),490 cal,2058 kJ,1 once (28 g),39 cal,165 kJ
Dishes & Meals,California roll,100g,93 cal,391 kJ,1 rouleau (35 g),33 cal,137 kJ,1 once (28 g),26 cal,109 kJ
Dishes & Meals,Salade César au poulet,100g,127 cal,533 kJ,1 salade (309 g),392 cal,1647 kJ,1 once (28 g),36 cal,149 kJ
Dishes & Meals,Steak de poulet frit,100g,151 cal,634 kJ,1 steak  (280 g),423 cal,1775 kJ,1 once (28 g),42 cal,178 kJ
Dishes & Meals,Poulet Marsala,100g,96 cal,403 kJ,1 portion (2301 g),2209 cal,9273 kJ,1 once (28 g),27 cal,113 kJ
Dishes & Meals,Poulet au parmesan,100g,110 cal,462 kJ,1 part (227 g),250 cal,1049 kJ,1 once (28 g),31 cal,129 kJ
Dishes & Meals,Tarte au poulet,100g,223 cal,937 kJ,1 tarte (302 g),673 cal,2830 kJ,1 once (28 g),62 cal,262 kJ
Dishes & Meals,Poulet Tikka Masala,100g,81 cal,340 kJ,1 portion (241 g),195 cal,819 kJ,1 once (28 g),23 cal,95 kJ
Dishes & Meals,Chili con Carne,100g,105 cal,441 kJ,1 tasse (253 g),266 cal,1116 kJ,1 once (28 g),29 cal,123 kJ
Dishes & Meals,Chimichanga,100g,232 cal,974 kJ,1 item (180 g),418 cal,1753 kJ,1 once (28 g),65 cal,273 kJ
Dishes & Meals,Salade Cobb,100g,118 cal,496 kJ,1 portion (536 g),632 cal,2659 kJ,1 once (28 g),33 cal,139 kJ
Dishes & Meals,Corn dog,100g,250 cal,1050 kJ,1 item (175 g),438 cal,1838 kJ,1 once (28 g),70 cal,294 kJ
Dishes & Meals,Dal,100g,330 cal,1386 kJ,1/2 tasse (92 g),304 cal,1275 kJ,1 once (28 g),92 cal,388 kJ
Dishes & Meals,oeufs à la diable,100g,201 cal,844 kJ,1/2 egg (31 g),62 cal,262 kJ,1 once (28 g),56 cal,236 kJ
Dishes & Meals,Dim Sum,100g,193 cal,811 kJ,1 part (19 g),37 cal,154 kJ,1 once (28 g),54 cal,227 kJ
Dishes & Meals,Dosa,100g,66 cal,277 kJ,1 portion (435 g),287 cal,1205 kJ,1 once (28 g),18 cal,78 kJ
Dishes & Meals,Enchiladas,100g,168 cal,706 kJ,1 enchilada (192 g),323 cal,1356 kJ,1 once (28 g),47 cal,198 kJ
Dishes & Meals,Fajita,100g,117 cal,491 kJ,1 portion (248 g),290 cal,1218 kJ,1 once (28 g),33 cal,137 kJ
Dishes & Meals,Poisson et frites,100g,195 cal,819 kJ,1 portion (300 g),585 cal,2457 kJ,1 once (28 g),55 cal,229 kJ
Dishes & Meals,Riz frit,100g,186 cal,781 kJ,1 portion (356 g),662 cal,2780 kJ,1 once (28 g),52 cal,219 kJ
Dishes & Meals,Crevettes frites,100g,277 cal,1163 kJ,1 crevette (27 g),75 cal,314 kJ,1 once (28 g),78 cal,326 kJ
Dishes & Meals,Sandwich au fromage grillé,100g,288 cal,1210 kJ,1 sandwich (136 g),392 cal,1646 kJ,1 once (28 g),81 cal,339 kJ
Dishes & Meals,Sandwich au jambon et au fromage,100g,241 cal,1012 kJ,1 sandwich (146 g),352 cal,1478 kJ,1 once (28 g),67 cal,283 kJ
Dishes & Meals,Houmous,100g,177 cal,743 kJ,1 tasse (246 g),435 cal,1828 kJ,1 once (28 g),50 cal,208 kJ
Dishes & Meals,Jambalaya,100g,100 cal,420 kJ,1 tasse (250 g),250 cal,1050 kJ,1 once (28 g),28 cal,118 kJ
Dishes & Meals,Brochettes,100g,215 cal,903 kJ,1 kebab (360 g),774 cal,3251 kJ,1 once (28 g),60 cal,253 kJ
Dishes & Meals,Lasagnes,100g,132 cal,554 kJ,1 portion (215 g),284 cal,1191 kJ,1 once (28 g),37 cal,155 kJ
Dishes & Meals,Macaronis au fromage,100g,370 cal,1554 kJ,1 portion (189 g),699 cal,2937 kJ,1 once (28 g),104 cal,435 kJ
Dishes & Meals,Purée de pommes de terre,100g,83 cal,349 kJ,1 tasse (210 g),174 cal,733 kJ,1 once (28 g),23 cal,98 kJ
Dishes & Meals,Tourte à la viande,100g,242 cal,1016 kJ,1 tarte (120 g),290 cal,1219 kJ,1 once (28 g),68 cal,284 kJ
Dishes & Meals,Pain de viande,100g,254 cal,1067 kJ,1 part (284 g),721 cal,3030 kJ,1 once (28 g),71 cal,299 kJ
Dishes & Meals,Poulet à l'orange,100g,259 cal,1088 kJ,1 portion (162 g),420 cal,1763 kJ,1 once (28 g),73 cal,305 kJ
Dishes & Meals,Pad thaï,100g,150 cal,630 kJ,1 tasse (250 g),375 cal,1575 kJ,1 once (28 g),42 cal,176 kJ
Dishes & Meals,Paella,100g,156 cal,655 kJ,1/2 paquet (128 g),200 cal,838 kJ,1 once (28 g),44 cal,183 kJ
Dishes & Meals,Paratha,100g,325 cal,1365 kJ,1 paratha (80 g),260 cal,1092 kJ,1 once (28 g),91 cal,382 kJ
Dishes & Meals,Soupe aux pois,100g,75 cal,315 kJ,1 tasse (253 g),190 cal,797 kJ,1 once (28 g),21 cal,88 kJ
Dishes & Meals,Sandwich au beurre de cacahuète,100g,408 cal,1714 kJ,1 sandwich (49 g),200 cal,840 kJ,1 once (28 g),114 cal,480 kJ
Dishes & Meals,Canard laqué,100g,225 cal,945 kJ,1/2 duck (178 g),401 cal,1682 kJ,1 once (28 g),63 cal,265 kJ
Dishes & Meals,Steak au fromage Philadelphia,100g,250 cal,1050 kJ,1 sandwich (120 g),300 cal,1260 kJ,1 once (28 g),70 cal,294 kJ
Dishes & Meals,Pizza,100g,267 cal,1121 kJ,1 part (102 g),272 cal,1143 kJ,1 once (28 g),75 cal,314 kJ
Dishes & Meals,Côtelette de porc,100g,225 cal,945 kJ,1 côtelette (131 g),295 cal,1238 kJ,1 once (28 g),63 cal,265 kJ
Dishes & Meals,Salade de pommes de terre,100g,143 cal,601 kJ,1/3 tasse (95 g),136 cal,571 kJ,1 once (28 g),40 cal,168 kJ
Dishes & Meals,Sandwich au porc effiloché,100g,211 cal,886 kJ,1 sandwich (261 g),551 cal,2312 kJ,1 once (28 g),59 cal,248 kJ
Dishes & Meals,Ramen,100g,447 cal,1877 kJ,"1 paquet, dry (85 g)",380 cal,1595 kJ,1 once (28 g),125 cal,526 kJ
Dishes & Meals,Ravioli,100g,203 cal,853 kJ,5 ravioli (66 g),134 cal,563 kJ,1 once (28 g),57 cal,239 kJ
Dishes & Meals,Rôti de boeuf,100g,111 cal,466 kJ,1 part (21 g),23 cal,98 kJ,1 once (28 g),31 cal,130 kJ
Dishes & Meals,Dîner de rôtis,100g,198 cal,832 kJ,1 part (121 g),240 cal,1007 kJ,1 once (28 g),55 cal,233 kJ
Dishes & Meals,Samosa,100g,214 cal,899 kJ,1 samosa (50 g),107 cal,450 kJ,1 once (28 g),60 cal,252 kJ
Dishes & Meals,Sausage Roll,100g,350 cal,1470 kJ,1 rouleau (103 g),361 cal,1514 kJ,1 once (28 g),98 cal,412 kJ
Dishes & Meals,Pâté chinois,100g,70 cal,294 kJ,1 pâté (227 g),159 cal,667 kJ,1 once (28 g),20 cal,82 kJ
Dishes & Meals,Cocktail de crevettes,100g,464 cal,1949 kJ,1 once (28 g),130 cal,546 kJ,1 once (28 g),130 cal,546 kJ
Dishes & Meals,Spaghetti à la bolognaise,100g,132 cal,554 kJ,1 portion (283 g),374 cal,1568 kJ,1 once (28 g),37 cal,155 kJ
Dishes & Meals,Rouleau de printemps,100g,250 cal,1050 kJ,1 rouleau (140 g),350 cal,1470 kJ,1 once (28 g),70 cal,294 kJ
Dishes & Meals,Rouleaux de printemps,100g,250 cal,1050 kJ,1 rouleau (140 g),350 cal,1470 kJ,1 once (28 g),70 cal,294 kJ
Dishes & Meals,Taco,100g,217 cal,911 kJ,1 taco (98 g),213 cal,893 kJ,1 once (28 g),61 cal,255 kJ
Dishes & Meals,Poulet tandoori,100g,113 cal,475 kJ,1 portion (175 g),198 cal,831 kJ,1 once (28 g),32 cal,133 kJ
Dishes & Meals,Yorkshire Pudding,100g,553 cal,2323 kJ,1 pudding (15 g),83 cal,348 kJ,1 once (28 g),155 cal,650 kJ
